iter	RMSE
0	1.419415705
1	1.378202615
2	1.338034072
3	1.299169836
4	1.261478501
5	1.225147799
6	1.189864418
7	1.155617369
8	1.12276026
9	1.090554693
10	1.059370062
11	1.02883563
12	0.999191749
13	0.9707855763
14	0.9433331462
15	0.9164322194
16	0.8903782998
17	0.8654242798
18	0.8410231384
19	0.8176754744
20	0.7949029558
21	0.7733372499
22	0.7517803175
23	0.7310489663
24	0.7106111985
25	0.6909289733
26	0.6717519017
27	0.6535441584
28	0.6357427322
29	0.6185007795
30	0.6015971739
31	0.585327894
32	0.5694149388
33	0.5542190781
34	0.5395113289
35	0.5251561262
36	0.5113437489
37	0.4977884273
38	0.4847809926
39	0.4725470439
40	0.4602098303
41	0.4485520386
42	0.4370496054
43	0.4262360837
44	0.4155705026
45	0.4053691442
46	0.3953448877
47	0.3855878322
48	0.3763779594
49	0.3674158436
50	0.3589212568
51	0.3504113125
52	0.3422441674
53	0.3343626067
54	0.3268144156
55	0.3194444654
56	0.3124014986
57	0.3056905887
58	0.2992915771
59	0.2929869408
60	0.2869859419
61	0.2811509119
62	0.2753511648
63	0.2698961332
64	0.2644855509
65	0.2593774612
66	0.2546209182
67	0.2500493362
68	0.2455631728
69	0.2412245365
70	0.2370211316
71	0.2330763934
72	0.2293673098
73	0.2256153853
74	0.2220471039
75	0.2186716229
76	0.2154004909
77	0.2123581559
78	0.2094857595
79	0.2065734333
80	0.203869079
81	0.2012791039
82	0.1986683807
83	0.1963183471
84	0.1940026909
85	0.1917476277
86	0.1897168235
87	0.1878064597
88	0.1858745773
89	0.1839764998
90	0.1822086619
91	0.1805764086
92	0.1789971132
93	0.1774690885
94	0.176010478
95	0.1746080888
96	0.1732519253
97	0.1719192554
98	0.1706450502
99	0.1695057604
100	0.1683611407
101	0.1672990871
102	0.1662991337
103	0.1653128001
104	0.1643316673
105	0.1635284505
106	0.1627006172
107	0.1619345687
108	0.1611310955
109	0.1604101505
110	0.1596866889
111	0.1590454396
112	0.1582928874
113	0.157632191
114	0.1570581026
115	0.1564265918
116	0.1558906564
117	0.1553784772
118	0.1548064432
119	0.1543501187
120	0.1539052684
121	0.1534424149
122	0.1530229384
123	0.1525798291
124	0.15217886
125	0.1516958658
126	0.1512317336
127	0.1508075786
128	0.1504724039
129	0.150149663
130	0.1498336109
131	0.1495298098
132	0.1491987811
133	0.1487837748
134	0.1484414
135	0.1480787117
136	0.1477851798
137	0.147537375
138	0.1473263901
139	0.1470753632
140	0.1468345991
141	0.1466461292
142	0.1463590698
143	0.1461537748
144	0.1459668432
145	0.1457574963
146	0.1454709755
147	0.1452779262
148	0.145107426
149	0.1449525103
150	0.1447723075
151	0.1445774636
152	0.1443571617
153	0.1441660235
154	0.1440459991
155	0.14390016
156	0.14378998
157	0.1436439524
158	0.1435208168
159	0.1433830798
160	0.1432936982
161	0.1430945137
162	0.1429764632
163	0.1427645556
164	0.1426510212
165	0.1424806977
166	0.1423843089
167	0.1422435334
168	0.1421296985
169	0.1419954926
170	0.1418101689
171	0.1417054584
172	0.1415847319
173	0.141380884
174	0.1411832129
175	0.1411042341
176	0.1410238709
177	0.1408965621
178	0.1408250021
179	0.1407508074
180	0.1405599224
181	0.1405026582
182	0.1404141595
183	0.1403740809
184	0.1402089939
185	0.1400778458
186	0.1399147779
187	0.1398057497
188	0.1397190281
189	0.139681484
190	0.1396202437
191	0.1395089473
192	0.1393958729
193	0.1391737195
194	0.1390917562
195	0.1390224144
196	0.138824576
197	0.1387398372
198	0.1386915514
199	0.1385888369
200	0.1384591908
201	0.1384034765
202	0.1383359334
203	0.1382812204
204	0.138141283
205	0.1380274555
206	0.1379797133
207	0.1378958399
208	0.1378731017
209	0.1378235512
210	0.1377810896
211	0.1377109993
212	0.1376211011
213	0.1376111845
214	0.1375714731
215	0.1374775039
216	0.1373337504
217	0.137267722
218	0.1370514818
219	0.1369105784
220	0.1368130644
221	0.1367111573
222	0.1366051545
223	0.1365098023
224	0.1363815249
225	0.1363459627
226	0.1363019009
227	0.1362305008
228	0.136124353
229	0.1360664942
230	0.1359712966
231	0.1358765801
232	0.1358232376
233	0.1357718033
234	0.1357241419
235	0.1356108467
236	0.1355742864
237	0.1355620529
238	0.1354546292
239	0.1354272777
240	0.1353147244
241	0.1352539271
242	0.1351843691
243	0.1351691336
244	0.1351389707
245	0.1350965312
246	0.1350309362
247	0.1349151273
248	0.1348758211
249	0.134780039
250	0.1347530541
251	0.1346562758
252	0.1346022706
253	0.134529623
254	0.1344439472
255	0.1343701814
256	0.13436984
257	0.1342928345
258	0.1342726642
259	0.1341427013
260	0.1340813859
261	0.1340223065
262	0.1339141103
263	0.1338446669
264	0.1337355917
265	0.1336815999
266	0.1336532313
267	0.1336289901
268	0.1335564587
269	0.1335223121
270	0.1335185604
271	0.1334168583
272	0.1333766512
273	0.1333355173
274	0.1332693073
275	0.1332296005
276	0.1331874375
277	0.1331556647
278	0.1330931361
279	0.1330416167
280	0.1329644913
281	0.132926705
282	0.1329062599
283	0.1328263419
284	0.1327635607
285	0.1326291566
286	0.1325685109
287	0.132506822
288	0.1324681683
