iter	Passed	Remaining
0	110	55366
1	128	32015
2	144	24002
3	160	19884
4	176	17511
5	203	16722
6	231	16319
7	252	15539
8	270	14771
9	289	14182
10	323	14377
11	351	14293
12	376	14099
13	400	13889
14	420	13588
15	442	13383
16	461	13111
17	471	12629
18	494	12514
19	512	12306
20	531	12116
21	546	11871
22	563	11684
23	582	11549
24	601	11435
25	623	11371
26	646	11328
27	664	11196
28	693	11262
29	712	11162
30	728	11021
31	744	10892
32	762	10785
33	783	10736
34	802	10660
35	817	10534
36	832	10411
37	848	10312
38	863	10202
39	879	10119
40	894	10016
41	909	9919
42	924	9828
43	935	9692
44	950	9606
45	965	9531
46	980	9453
47	995	9376
48	1005	9258
49	1020	9187
50	1035	9116
51	1050	9047
52	1064	8979
53	1078	8909
54	1093	8849
55	1108	8786
56	1122	8727
57	1137	8666
58	1151	8606
59	1165	8550
60	1180	8495
61	1195	8444
62	1209	8390
63	1224	8340
64	1243	8324
65	1269	8348
66	1292	8353
67	1310	8324
68	1327	8290
69	1345	8263
70	1363	8237
71	1380	8206
72	1399	8185
73	1419	8170
74	1439	8154
75	1457	8132
76	1476	8110
77	1492	8076
78	1505	8022
79	1522	7993
80	1540	7969
81	1559	7950
82	1579	7933
83	1599	7921
84	1619	7905
85	1638	7886
86	1658	7871
87	1677	7852
88	1702	7862
89	1726	7863
90	1745	7847
91	1767	7836
92	1787	7822
93	1812	7828
94	1830	7804
95	1852	7793
96	1869	7768
97	1887	7742
98	1904	7713
99	1921	7686
100	1937	7654
101	1952	7617
102	1966	7579
103	1981	7544
104	1997	7516
105	2013	7482
106	2027	7448
107	2042	7413
108	2057	7379
109	2073	7349
110	2087	7315
111	2101	7280
112	2116	7247
113	2130	7214
114	2147	7189
115	2167	7176
116	2183	7148
117	2198	7115
118	2212	7082
119	2226	7051
120	2240	7018
121	2255	6989
122	2269	6957
123	2284	6926
124	2298	6895
125	2313	6866
126	2327	6836
127	2342	6809
128	2357	6780
129	2372	6752
130	2386	6722
131	2401	6694
132	2415	6664
133	2429	6636
134	2444	6607
135	2458	6580
136	2473	6554
137	2488	6526
138	2502	6499
139	2516	6470
140	2530	6442
141	2544	6414
142	2559	6389
143	2574	6364
144	2588	6336
145	2602	6309
146	2619	6289
147	2633	6263
148	2648	6238
149	2662	6212
150	2677	6188
151	2692	6164
152	2706	6138
153	2721	6114
154	2735	6088
155	2750	6064
156	2764	6038
157	2778	6014
158	2792	5989
159	2807	5965
160	2821	5940
161	2835	5916
162	2851	5894
163	2866	5871
164	2882	5852
165	2909	5853
166	2923	5828
167	2938	5807
168	2955	5788
169	2971	5769
170	2990	5752
171	3007	5735
172	3025	5719
173	3042	5700
174	3060	5683
175	3077	5665
176	3094	5647
177	3115	5635
178	3135	5623
179	3153	5606
180	3172	5590
181	3188	5571
182	3205	5553
183	3219	5529
184	3238	5514
185	3257	5498
186	3274	5480
187	3292	5464
188	3309	5446
189	3326	5426
190	3345	5412
191	3363	5395
192	3380	5377
193	3396	5357
194	3411	5335
195	3427	5316
196	3445	5299
197	3463	5283
198	3482	5266
199	3500	5250
200	3518	5233
201	3536	5216
202	3553	5199
203	3570	5181
204	3588	5163
205	3607	5148
206	3625	5131
207	3643	5114
208	3664	5101
209	3681	5083
210	3698	5065
211	3715	5047
212	3747	5049
213	3758	5022
214	3776	5005
215	3793	4987
216	3812	4971
217	3828	4953
218	3847	4936
219	3864	4918
220	3879	4897
221	3894	4876
222	3909	4855
223	3924	4835
224	3939	4814
225	3953	4793
226	3967	4771
227	3982	4751
228	3997	4730
229	4011	4709
230	4025	4687
231	4039	4666
232	4054	4645
233	4069	4625
234	4083	4604
235	4098	4584
236	4112	4563
237	4126	4542
238	4141	4522
239	4155	4501
240	4169	4481
241	4184	4460
242	4198	4440
243	4212	4419
244	4226	4399
245	4241	4379
246	4256	4360
247	4273	4342
248	4289	4323
249	4304	4304
250	4319	4284
251	4335	4267
252	4351	4248
253	4367	4229
254	4384	4212
255	4399	4193
256	4416	4175
257	4434	4159
258	4448	4139
259	4465	4121
260	4480	4102
261	4495	4084
262	4511	4065
263	4536	4054
264	4556	4040
265	4570	4020
266	4585	4001
267	4600	3982
268	4614	3962
269	4629	3943
270	4641	3922
271	4656	3902
272	4671	3884
273	4685	3864
274	4705	3849
275	4719	3830
276	4737	3813
277	4754	3797
278	4769	3777
279	4784	3759
280	4802	3743
281	4823	3728
282	4840	3711
283	4856	3693
284	4870	3674
285	4885	3655
286	4899	3636
287	4914	3617
288	4928	3598
